Image Name,Type,Band,Local Time,Exposure (s)
DARK_1.FIT,Dark Frame,r,10/27/2025 at 22:27:43.000,30.0
DARK_2.FIT,Dark Frame,V,10/27/2025 at 22:25:21.000,30.0
DARK_3.FIT,Dark Frame,V,10/27/2025 at 22:26:29.000,30.0
FLAT_V1.FIT,V-band Flat,V,10/27/2025 at 22:20:34.000,30.0
FLAT_V2.FIT,V-band Flat,V,10/27/2025 at 22:21:43.000,30.0
FLAT_R1.FIT,R-band Flat,r,10/27/2025 at 22:17:42.000,30.0
FLAT_R2.FIT,R-band Flat,r,10/27/2025 at 22:19:02.000,30.0
SKYCY_V1.FIT,V-band Sky,V,10/27/2025 at 19:53:52.000,30.0
SKYCY_V2.FIT,V-band Sky,V,10/27/2025 at 19:55:59.000,30.0
SKYCY_V3.FIT,V-band Sky,V,10/27/2025 at 21:34:43.000,30.0
SKYCY_R1.FIT,R-band Sky,r,10/27/2025 at 19:57:15.000,30.0
SKYCY_R2.FIT,R-band Sky,r,10/27/2025 at 19:58:23.000,30.0
SKYCY_R3.FIT,R-band Sky,r,10/27/2025 at 21:36:03.000,30.0
176SKY_V1.FIT,V-band Phot Sky,V,10/27/2025 at 21:55:36.000,30.0
176SKY_V2.FIT,V-band Phot Sky,V,10/27/2025 at 21:56:58.000,30.0
176SKY_V3.FIT,V-band Phot Sky,V,10/27/2025 at 21:57:59.000,30.0
176SKY_R1.FIT,R-band Phot Sky,r,10/27/2025 at 21:59:33.000,30.0
176SKY_R2.FIT,R-band Phot Sky,r,10/27/2025 at 22:01:06.000,30.0
176SKY_R3.FIT,R-band Phot Sky,r,10/27/2025 at 22:02:28.000,30.0
176_V1.FIT,V-band Standard,V,10/27/2025 at 21:43:48.000,30.0
176_V2.FIT,V-band Standard,V,10/27/2025 at 21:46:23.000,30.0
176_V3.FIT,V-band Standard,V,10/27/2025 at 21:53:43.000,30.0
176_V4.FIT,V-band Standard,V,10/27/2025 at 21:49:11.000,30.0
176_R1.FIT,R-band Standard,r,10/27/2025 at 21:41:44.000,30.0
176_R2.FIT,R-band Standard,r,10/27/2025 at 21:44:58.000,30.0
176_R3.FIT,R-band Standard,r,10/27/2025 at 21:47:44.000,30.0
176_R4.FIT,R-band Standard,r,10/27/2025 at 21:51:21.000,30.0
CYA_V1.FIT,V-band Target,V,10/27/2025 at 19:50:15.000,30.0
CYA_V2.FIT,V-band Target,V,10/27/2025 at 20:01:30.000,30.0
CYA_V3.FIT,V-band Target,V,10/27/2025 at 20:03:52.000,30.0
CYA_V4.FIT,V-band Target,V,10/27/2025 at 20:06:20.000,30.0
CYA_V5.FIT,V-band Target,V,10/27/2025 at 20:09:25.000,30.0
CYA_V6.FIT,V-band Target,V,10/27/2025 at 20:12:00.000,30.0
CYA_V7.FIT,V-band Target,V,10/27/2025 at 20:15:35.000,30.0
