V_flux,V_flux_err,V_mag,V_mag_err,I_flux,I_flux_err,I_mag,I_mag_err,V_minus_I,color_err,X_pos,Y_pos,Main_Sequence
105126.6347,1822.5081,13.4496,0.0188,35988.4304,602.2565,13.3081,0.0182,0.1415,0.0262,2527.3937,4821.7170,False
43299.4241,856.4271,14.4127,0.0215,17527.0449,448.2370,14.0892,0.0278,0.3235,0.0351,1797.8635,2252.4745,False
28952.6014,351.0007,14.8497,0.0132,15121.3828,286.3707,14.2495,0.0206,0.6002,0.0244,3134.3016,3263.2930,False
17768.5024,497.1834,15.3798,0.0304,13231.6912,306.0310,14.3945,0.0251,0.9853,0.0394,4307.5056,2090.7535,False
17723.1385,473.9300,15.3825,0.0290,10667.5921,293.7851,14.6283,0.0299,0.7542,0.0417,3310.8357,1263.8144,False
17089.8800,504.0912,15.4221,0.0320,8462.4357,289.5504,14.8798,0.0371,0.5423,0.0490,4745.7858,4477.8576,False
16988.6262,595.6461,15.4285,0.0381,14068.8573,413.8757,14.3279,0.0319,1.1007,0.0497,3698.0413,5136.0108,False
15495.3396,566.8933,15.5284,0.0397,15524.0770,353.6752,14.2210,0.0247,1.3074,0.0468,5305.0788,5109.2211,False
14096.1485,438.6387,15.6311,0.0338,11260.5692,300.6827,14.5696,0.0290,1.0615,0.0445,363.4649,2986.7976,False
12471.6321,428.5046,15.7641,0.0373,595.7487,80.5801,17.7608,0.1469,-1.9968,0.1515,4581.6925,5161.2016,False
12180.9508,405.2789,15.7897,0.0361,11250.3952,261.3008,14.5706,0.0252,1.2191,0.0441,3342.2711,2192.5749,False
12079.9427,372.2489,15.7987,0.0335,10953.8738,255.4306,14.5996,0.0253,1.1992,0.0420,857.0981,910.0486,False
11465.5103,401.1665,15.8554,0.0380,17892.5696,261.8021,14.0668,0.0159,1.7886,0.0412,3089.4241,1669.4552,False
11388.0851,275.3587,15.8628,0.0263,632.8897,82.3595,17.6952,0.1413,-1.8324,0.1437,5106.3016,5279.4324,False
10941.2161,202.5543,15.9062,0.0201,644.8030,77.4088,17.6749,0.1303,-1.7687,0.1319,1777.4468,5160.1056,False
10503.4781,204.3574,15.9506,0.0211,641.0831,72.1791,17.6812,0.1222,-1.7306,0.1241,3288.3196,4384.3254,False
10180.8612,218.8312,15.9844,0.0233,653.9702,64.8828,17.6596,0.1077,-1.6752,0.1102,3977.2392,2810.3375,False
9764.5188,225.3661,16.0298,0.0251,680.0543,63.1221,17.6171,0.1008,-1.5874,0.1038,4754.7519,2190.2782,False
9510.0025,216.6340,16.0584,0.0247,608.4358,77.6192,17.7380,0.1385,-1.6795,0.1407,662.9731,3582.3638,False
9455.2718,153.5897,16.0647,0.0176,672.4110,62.9823,17.6294,0.1017,-1.5647,0.1032,5098.4609,2686.6016,False
9384.6060,129.2399,16.0729,0.0150,573.2339,64.9365,17.8027,0.1230,-1.7298,0.1239,2573.4633,4005.1853,False
